Company,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
Boeing,2009-03-31,35.9,36.24,35.05,35.58,11549200,0,1,28.36976739,28.63845042,27.6980598,28.11688924,11549200
Boeing,2009-02-28,32.3,32.37,31.4,31.44,11789000,0,1,25.52488821,25.5802053,24.81366841,24.84527818,11789000
Boeing,2009-01-31,40.76,42.49,40.63,42.31,9098000,0,1,31.89121418,33.24479123,31.7895003,33.10395663,9098000
Boeing,2008-12-31,41.59,43.05,41.5,42.67,5443100,0,1,32.5406182,33.68294334,32.4702009,33.38562584,5443100
Boeing,2008-11-30,41.17,42.8,41.1,42.63,2608200,0,1,32.21200412,33.48733972,32.15723511,33.35432926,2608200
Boeing,2008-10-31,50.62,52.61,49.28,52.42,8419400,0,1,39.28865722,40.83319353,38.2486177,40.68572524,8419400
Boeing,2008-09-30,56.29,57.65,55.62,57.35,6412200,0,1,43.68942147,44.74498397,43.16940171,44.51213931,6412200
Boeing,2008-08-31,66.25,66.43,65.1,65.56,3912800,0,1,51.4198645,51.5595713,50.52729327,50.88432176,3912800
Boeing,2008-07-31,63,63,61.01,61.11,10585300,0,1,48.60013207,48.60013207,47.06498504,47.1421281,10585300
Boeing,2008-06-30,66.63,66.75,65.55,65.72,8562400,0,1,51.40042539,51.49299707,50.56728027,50.69842348,8562400
Boeing,2008-05-31,82.4,82.9401,81.01,82.77,4660200,0,1,63.56588702,63.98253672,62.49359839,63.85131637,4660200
Boeing,2008-04-30,85.83,86.18,84.63,84.86,5220600,0,1,65.90012543,66.16885483,64.97876751,65.15536111,5220600
Boeing,2008-03-31,74.17,74.58,73.4,74.37,7394800,0,1,56.94759761,57.2623949,56.35639295,57.10115727,7394800
Boeing,2008-02-29,84.02,84.5,82.4,82.79,7667800,0,1,64.51041056,64.87895373,63.26657737,63.56601869,7667800
Boeing,2008-01-31,81.76,83.84,80.8,83.18,7887700,0,1,62.46252212,64.05158824,61.72910699,63.54736533,7887700
Boeing,2007-12-31,87.76,88.28,87.24,87.46,3184200,0,1,67.0463667,67.44363323,66.64910017,66.81717447,3184200
Boeing,2007-11-30,94.53,94.6,91.72,92.54,10111300,0,1,72.21847133,72.27194952,70.07170412,70.69816288,10111300
Boeing,2007-10-31,98.15,98.71,97.33,98.59,5940300,0,1,74.7141643,75.14044991,74.08996038,75.04910299,5940300
